nameFirst,nameLast,tname
Pete,Mackanin,Cincinnati Redlegs
Bryan,Price,Cincinnati Redlegs
Tom,Loftus,Cincinnati Reds
Buck,Ewing,Cincinnati Reds
Hank,O'Day,Cincinnati Reds
Frank,Bancroft,Cincinnati Reds
Ned,Hanlon,Cincinnati Reds
Bid,McPhee,Cincinnati Reds
Clark,Griffith,Cincinnati Reds
Jack,Hendricks,Cincinnati Reds
Pat,Moran,Cincinnati Reds
Christy,Mathewson,Cincinnati Reds
Donie,Bush,Cincinnati Reds
Bobby,Wallace,Cincinnati Reds
Dan,Howley,Cincinnati Reds
Burt,Shotton,Cincinnati Reds
Chuck,Dressen,Cincinnati Reds
Bill,McKechnie,Cincinnati Reds
Hank,Gowdy,Cincinnati Reds
Bucky,Walters,Cincinnati Reds
Luke,Sewell,Cincinnati Reds
Johnny,Neun,Cincinnati Reds
Jimmy,Dykes,Cincinnati Reds
Birdie,Tebbetts,Cincinnati Reds
Earle,Brucker,Cincinnati Reds
Rogers,Hornsby,Cincinnati Reds
Buster,Mills,Cincinnati Reds
Dick,Sisler,Cincinnati Reds
Mayo,Smith,Cincinnati Reds
Fred,Hutchinson,Cincinnati Reds
Don,Heffner,Cincinnati Reds
Dave,Bristol,Cincinnati Reds
Sparky,Anderson,Cincinnati Reds
John,McNamara,Cincinnati Reds
Vern,Rapp,Cincinnati Reds
Russ,Nixon,Cincinnati Reds
Tony,Perez,Cincinnati Reds
Davey,Johnson,Cincinnati Reds
Tommy,Helms,Cincinnati Reds
Lou,Piniella,Cincinnati Reds
Pete,Rose,Cincinnati Reds
Ray,Knight,Cincinnati Reds
Bob,Boone,Cincinnati Reds
Jack,McKeon,Cincinnati Reds
Jerry,Narron,Cincinnati Reds
Dave,Miley,Cincinnati Reds
Dusty,Baker,Cincinnati Reds
Pete,Mackanin,Cincinnati Reds
Bryan,Price,Cincinnati Reds
Joe,Birmingham,Cleveland Blues
Lee,Fohl,Cleveland Blues
Deacon,McGuire,Cleveland Blues
Bill,Armour,Cleveland Blues
Jack,McCallister,Cleveland Blues
Roger,Peckinpaugh,Cleveland Blues
Ossie,Vitt,Cleveland Blues
Steve,O'Neill,Cleveland Blues
Bibb,Falk,Cleveland Blues
Walter,Johnson,Cleveland Blues
Kerby,Farrell,Cleveland Blues
Al,Lopez,Cleveland Blues
Bobby,Bragan,Cleveland Blues
Joe,Gordon,Cleveland Blues
Birdie,Tebbetts,Cleveland Blues
Mel,Harder,Cleveland Blues
Jo-Jo,White,Cleveland Blues
Jimmy,Dykes,Cleveland Blues
Mel,McGaha,Cleveland Blues
George,Strickland,Cleveland Blues
Joe,Adcock,Cleveland Blues
Johnny,Lipon,Cleveland Blues
Ken,Aspromonte,Cleveland Blues
Al,Dark,Cleveland Blues
Frank,Robinson,Cleveland Blues
Jeff,Torborg,Cleveland Blues
Dave,Garcia,Cleveland Blues
Mike,Ferraro,Cleveland Blues
Pat,Corrales,Cleveland Blues
John,McNamara,Cleveland Blues
Doc,Edwards,Cleveland Blues
John,Hart,Cleveland Blues
Mike,Hargrove,Cleveland Blues
Charlie,Manuel,Cleveland Blues
Joel,Skinner,Cleveland Blues
Charlie,Hackett,Cleveland Blues
Jimmy,Williams,Cleveland Blues
Frank,Bancroft,Cleveland Blues
Eric,Wedge,Cleveland Blues
Tom,Loftus,Cleveland Blues
Manny,Acta,Cleveland Blues
Sandy,Alomar,Cleveland Blues
Terry,Francona,Cleveland Blues
Joe,Birmingham,Cleveland Bronchos
Lee,Fohl,Cleveland Bronchos
Deacon,McGuire,Cleveland Bronchos
Bill,Armour,Cleveland Bronchos
Jack,McCallister,Cleveland Bronchos
Roger,Peckinpaugh,Cleveland Bronchos
Ossie,Vitt,Cleveland Bronchos
Steve,O'Neill,Cleveland Bronchos
Bibb,Falk,Cleveland Bronchos
Walter,Johnson,Cleveland Bronchos
Kerby,Farrell,Cleveland Bronchos
Al,Lopez,Cleveland Bronchos
Bobby,Bragan,Cleveland Bronchos
Joe,Gordon,Cleveland Bronchos
George,Strickland,Cleveland Bronchos
Birdie,Tebbetts,Cleveland Bronchos
Mel,Harder,Cleveland Bronchos
Jo-Jo,White,Cleveland Bronchos
Jimmy,Dykes,Cleveland Bronchos
Mel,McGaha,Cleveland Bronchos
Joe,Adcock,Cleveland Bronchos
Johnny,Lipon,Cleveland Bronchos
Ken,Aspromonte,Cleveland Bronchos
Al,Dark,Cleveland Bronchos
Dave,Garcia,Cleveland Bronchos
Frank,Robinson,Cleveland Bronchos
Jeff,Torborg,Cleveland Bronchos
Mike,Ferraro,Cleveland Bronchos
Pat,Corrales,Cleveland Bronchos
John,McNamara,Cleveland Bronchos
Doc,Edwards,Cleveland Bronchos
John,Hart,Cleveland Bronchos
Mike,Hargrove,Cleveland Bronchos
Charlie,Manuel,Cleveland Bronchos
Joel,Skinner,Cleveland Bronchos
Manny,Acta,Cleveland Bronchos
Eric,Wedge,Cleveland Bronchos
